"timestamp","A","B","C","q1_yesno","which","both"
"2025-10-16 12:40:28","Plate006/009009.zip","Plate001/002008.zip","Plate004/007006.zip","no","",""
"2025-10-16 12:41:55","Plate009/006007.zip","Plate006/014004.zip","Plate006/004002.zip","yes","C",""
"2025-10-22 16:48:28","Plate002/016019.zip","Plate003/001012.zip","Plate006/010018.zip","no","",""
"2025-10-22 16:48:48","Plate008/007014.zip","Plate006/011024.zip","Plate004/004016.zip","yes","B",""
"2025-10-22 16:48:59","Plate003/001012.zip","Plate005/012008.zip","Plate006/013014.zip","no","",""
"2025-10-22 16:49:07","Plate009/001013.zip","Plate001/006009.zip","Plate002/014008.zip","no","",""
"2025-10-22 16:49:27","Plate009/016012.zip","Plate002/016012.zip","Plate008/005018.zip","no","",""
"2025-10-22 16:49:32","Plate008/013023.zip","Plate009/007019.zip","Plate007/014012.zip","no","",""
"2025-10-22 16:49:51","Plate002/011022.zip","Plate008/006003.zip","Plate005/014002.zip","no","",""
"2025-10-22 16:50:07","Plate002/001004.zip","Plate003/010001.zip","Plate006/001001.zip","yes","B",""
"2025-10-22 16:50:17","Plate004/014014.zip","Plate005/008022.zip","Plate006/010001.zip","yes","C",""
"2025-10-22 16:50:24","Plate002/003009.zip","Plate001/016023.zip","Plate007/002020.zip","no","",""
"2025-10-22 16:50:40","Plate002/001017.zip","Plate009/012004.zip","Plate001/009004.zip","no","",""
"2025-10-22 16:50:48","Plate007/002012.zip","Plate009/004018.zip","Plate005/011022.zip","no","",""
"2025-10-22 16:50:56","Plate003/002015.zip","Plate008/012003.zip","Plate004/011006.zip","no","",""
"2025-10-22 16:51:03","Plate002/016009.zip","Plate007/006020.zip","Plate003/012012.zip","no","",""
"2025-10-22 16:51:13","Plate004/012016.zip","Plate006/008005.zip","Plate001/001005.zip","no","",""
"2025-10-22 16:51:21","Plate001/009021.zip","Plate007/016014.zip","Plate006/012009.zip","no","",""
"2025-10-22 16:51:50","Plate004/011002.zip","Plate007/016001.zip","Plate008/001010.zip","yes","both","equal"
"2025-10-22 16:55:16","Plate006/009019.zip","Plate005/007004.zip","Plate004/015009.zip","no","",""
"2025-10-22 16:55:27","Plate001/007012.zip","Plate007/007014.zip","Plate009/011007.zip","no","",""
"2025-10-22 16:55:35","Plate001/006011.zip","Plate004/014005.zip","Plate005/006015.zip","no","",""
"2025-10-22 16:55:41","Plate005/009009.zip","Plate004/009019.zip","Plate006/010009.zip","no","",""
"2025-10-22 16:56:11","Plate003/001001.zip","Plate009/011021.zip","Plate003/009011.zip","no","",""
"2025-10-22 16:56:18","Plate009/001008.zip","Plate006/015007.zip","Plate007/002014.zip","idk","",""
"2025-10-22 16:56:32","Plate009/008019.zip","Plate004/008002.zip","Plate003/006017.zip","yes","B",""
"2025-10-22 16:56:39","Plate004/015012.zip","Plate005/014004.zip","Plate007/009020.zip","no","",""
"2025-10-22 16:56:46","Plate007/003016.zip","Plate006/013024.zip","Plate009/015009.zip","no","",""
"2025-10-23 16:25:09","Plate007/005013.zip","Plate006/003018.zip","Plate008/016016.zip","no","",""
"2025-10-23 16:25:25","Plate008/004014.zip","Plate003/007003.zip","Plate009/013009.zip","yes","C",""
"2025-10-23 16:25:41","Plate009/016009.zip","Plate001/014004.zip","Plate006/014003.zip","yes","both","equal"
"2025-10-23 16:25:47","Plate006/007021.zip","Plate008/010003.zip","Plate003/001019.zip","no","",""
"2025-10-23 16:46:48","Plate002/016004.zip","Plate003/002004.zip","Plate004/006022.zip","no","",""
"2025-10-23 16:46:56","Plate008/009018.zip","Plate003/015001.zip","Plate007/010006.zip","yes","B",""
"2025-10-23 16:47:10","Plate004/004013.zip","Plate007/015002.zip","Plate003/003011.zip","yes","B",""
"2025-10-23 16:47:35","Plate005/010003.zip","Plate006/010018.zip","Plate005/014024.zip","yes","both","different"
"2025-10-23 16:48:09","Plate006/003005.zip","Plate005/014022.zip","Plate003/011016.zip","yes","B",""
"2025-10-23 16:48:37","Plate001/011011.zip","Plate002/011008.zip","Plate001/002007.zip","yes","both","equal"
"2025-10-23 16:48:44","Plate008/008004.zip","Plate007/010021.zip","Plate001/001011.zip","no","",""
"2025-10-23 17:16:20","Plate002/011012.zip","Plate006/016012.zip","Plate009/002005.zip","no","",""
"2025-10-23 17:16:36","Plate001/004024.zip","Plate003/016003.zip","Plate005/003021.zip","yes","both","equal"
"2025-10-23 17:16:49","Plate004/014017.zip","Plate007/009009.zip","Plate006/016010.zip","no","",""
"2025-10-23 17:16:56","Plate002/004020.zip","Plate008/008022.zip","Plate002/011010.zip","no","",""
"2025-10-23 17:17:06","Plate009/001024.zip","Plate009/015013.zip","Plate002/007005.zip","no","",""
"2025-10-23 17:17:22","Plate006/015004.zip","Plate004/006005.zip","Plate007/002011.zip","yes","both","equal"
"2025-10-23 17:48:33","Plate006/016004.zip","Plate003/012019.zip","Plate004/002007.zip","no","",""
"2025-11-05 13:41:08","Plate009/004013.zip","Plate005/008023.zip","Plate003/002010.zip","no","",""
"2025-11-05 13:41:29","Plate005/014023.zip","Plate005/009018.zip","Plate005/006009.zip","yes","both","equal"
"2025-11-05 14:20:01","Plate002/014021.zip","Plate004/002007.zip","Plate001/007023.zip","yes","C",""
"2025-11-05 14:23:27","Plate008/003002.zip","Plate005/004023.zip","Plate008/001003.zip","yes","C",""
"2025-11-05 14:23:38","Plate002/007010.zip","Plate002/010015.zip","Plate001/012014.zip","no","",""
"2025-11-05 14:23:50","Plate002/003020.zip","Plate007/007024.zip","Plate008/003002.zip","yes","both","different"
"2025-11-05 14:24:01","Plate003/012021.zip","Plate005/010024.zip","Plate006/014002.zip","yes","both","equal"
"2025-11-05 14:24:20","Plate004/012023.zip","Plate008/003007.zip","Plate001/001020.zip","yes","both","different"
"2025-11-05 14:24:27","Plate003/013006.zip","Plate006/005008.zip","Plate006/006009.zip","no","",""
"2025-11-05 14:24:35","Plate005/012010.zip","Plate007/001015.zip","Plate008/002006.zip","no","",""
"2025-11-05 14:24:40","Plate005/013001.zip","Plate006/010005.zip","Plate003/015021.zip","no","",""
"2025-11-05 14:24:45","Plate008/007019.zip","Plate004/002012.zip","Plate009/012017.zip","no","",""
"2025-11-05 14:44:41","Plate003/015015.zip","Plate001/006014.zip","Plate002/016009.zip","no","",""
"2025-11-05 14:44:44","Plate005/011010.zip","Plate002/005006.zip","Plate004/005010.zip","no","",""
